ean,product_id,manufacturer,article_type,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
1000000030211,598723,Avus Racing,Felge,provider 17,,,,,,
1000000030280,598737,Avus Racing,Felge,provider 17,,,,,,
1000000030327,598740,Avus Racing,Felge,provider 17,,,,,,
1000000030464,598719,Avus Racing,Felge,provider 17,,,,,,
1000000030471,598720,Avus Racing,Felge,provider 17,,,,,,
1000000030501,586675,Avus Racing,Felge,provider 17,,,,,,
1000000030587,586695,Avus Racing,Felge,provider 17,,,,,,
1000000030655,586681,Avus Racing,Felge,provider 17,,,,,,
1000000030716,586696,Avus Racing,Felge,provider 17,,,,,,
1000000031096,586659,Avus Racing,Felge,provider 17,,,,,,
1000000032048,598760,Avus Racing,Felge,provider 17,,,,,,
1000000032055,598761,Avus Racing,Felge,provider 17,,,,,,
1000000032086,598786,Avus Racing,Felge,provider 17,,,,,,
1000000032130,598798,Avus Racing,Felge,provider 17,,,,,,
1000000032147,598790,Avus Racing,Felge,provider 17,,,,,,
1000000032154,598791,Avus Racing,Felge,provider 17,,,,,,
1000000032239,598792,Avus Racing,Felge,provider 17,,,,,,
1000000032246,598778,Avus Racing,Felge,provider 17,,,,,,
1000000032291,598781,Avus Racing,Felge,provider 17,,,,,,
1000000032307,598782,Avus Racing,Felge,provider 17,,,,,,
1000000032338,598787,Avus Racing,Felge,provider 17,,,,,,
1000000032376,598793,Avus Racing,Felge,provider 17,,,,,,
1000000032390,598795,Avus Racing,Felge,provider 17,,,,,,
1000000032406,598800,Avus Racing,Felge,provider 17,,,,,,
1000000032413,598799,Avus Racing,Felge,provider 17,,,,,,
1000000032628,598732,Avus Racing,Felge,provider 17,,,,,,
1000000034875,382333,Avus Racing,Felge,provider 17,,,,,,
1000000036534,382987,Avus Racing,Felge,provider 17,,,,,,
1000000086430,382985,Avus Racing,Felge,provider 17,,,,,,
1000000398977,382377,Avus Racing,Felge,provider 17,,,,,,
1000000400151,382356,Avus Racing,Felge,provider 17,,,,,,
1000000400175,382358,Avus Racing,Felge,provider 17,,,,,,
1000000400267,382379,Avus Racing,Felge,provider 17,,,,,,
1000000400281,382376,Avus Racing,Felge,provider 17,,,,,,
1000000409772,382326,Avus Racing,Felge,provider 17,,,,,,
1000000413380,382845,Avus Racing,Felge,provider 17,,,,,,
1000000426694,382641,Avus Racing,Felge,provider 17,,,,,,
1000000427035,439605,Avus Racing,Felge,provider 17,,,,,,
1000000427554,382368,Avus Racing,Felge,provider 17,,,,,,
1000000428919,382424,Avus Racing,Felge,provider 17,,,,,,
1000000428926,382385,Avus Racing,Felge,provider 17,,,,,,
1000000428995,598721,Avus Racing,Felge,provider 17,,,,,,
1000000429015,598769,Avus Racing,Felge,provider 17,,,,,,
1000000430776,586674,Avus Racing,Felge,provider 17,,,,,,
1000000430783,586679,Avus Racing,Felge,provider 17,,,,,,
1000000430790,586684,Avus Racing,Felge,provider 17,,,,,,
1000000430806,586689,Avus Racing,Felge,provider 17,,,,,,
1000000430813,586694,Avus Racing,Felge,provider 17,,,,,,
1000000430820,586699,Avus Racing,Felge,provider 17,,,,,,
1000000430837,586704,Avus Racing,Felge,provider 17,,,,,,
1000000430844,586709,Avus Racing,Felge,provider 17,,,,,,
1000000430905,586697,Avus Racing,Felge,provider 17,,,,,,
1000000430912,586702,Avus Racing,Felge,provider 17,,,,,,
1000000430936,586714,Avus Racing,Felge,provider 17,,,,,,
1000000430943,586712,Avus Racing,Felge,provider 17,,,,,,
1000000430950,586719,Avus Racing,Felge,provider 17,,,,,,
1000000430967,586717,Avus Racing,Felge,provider 17,,,,,,
1000000430974,586724,Avus Racing,Felge,provider 17,,,,,,
1000000430998,586728,Avus Racing,Felge,provider 17,,,,,,
1000000431018,586732,Avus Racing,Felge,provider 17,,,,,,
1000000431032,586736,Avus Racing,Felge,provider 17,,,,,,
1000000431056,586760,Avus Racing,Felge,provider 17,,,,,,
1000000431063,586767,Avus Racing,Felge,provider 17,,,,,,
1000000431070,586765,Avus Racing,Felge,provider 17,,,,,,
