ean,product_id,manufacturer,article_type,provider,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
3528708977761,70012175,MICHELIN,Reifen,provider 16,235,45,R,18,,,PRIMACY 4+ XL,,,,,,,
3528709098823,70012169,MICHELIN,Reifen,provider 16,235,40,R,18,,Z,PIL.SPT 5 XL,,,,,,,
3528709810517,70012283,MICHELIN,Reifen,provider 16,235,50,R,18,,,PIL.SPT 5 XL,,,,,,,
3528709948548,70010526,MICHELIN,Reifen,provider 16,285,35,R,20,,Z,PIL.SPT 4S XL*,,,,,,,
4019238004052,10010709,CONTINENTAL,Reifen,provider 16,245,50,R,19,,,ECOCONTACT 6 XL*,,,,,,,
4019238005103,10010447,CONTINENTAL,Reifen,provider 16,215,60,R,17C,104,H,VANCOECO VW (107H),,,,,,,
4019238005127,10010449,CONTINENTAL,Reifen,provider 16,215,65,R,16C,106,,VANCOECO VW (107/104T),,,,,,,
4019238005899,10010545,CONTINENTAL,Reifen,provider 16,255,35,R,19,,Z,SPORTC. 6 XLMO1FR,,,,,,,
4019238006155,10010146,CONTINENTAL,Reifen,provider 16,215,60,R,17C,107,,VANC. WINTER 3PMSF M+S (104H,,,,,,,
4019238008852,10009955,CONTINENTAL,Reifen,provider 16,205,60,R,16,,,PREMIUMC. 5 SSRXL*,,,,,,,
4019238010534,10010421,CONTINENTAL,Reifen,provider 16,205,55,R,16,,,ECOCONTACT 6 XLVW,,,,,,,
4019238010633,10010045,CONTINENTAL,Reifen,provider 16,175,65,R,15,,,ALLSEASONCONTACT,,,,,,,
4019238010756,10009867,CONTINENTAL,Reifen,provider 16,215,60,R,16,,,PREMIUMC. 2 SEAL C_S,,,,,,,
4019238011821,10012328,CONTINENTAL,Reifen,provider 16,225,50,R,17,,,ECOCONTACT 6 XL*,,,,,,,
4019238012996,10012308,CONTINENTAL,Reifen,provider 16,225,40,R,18,,,ECOCONTACT 6 XL*FR,,,,,,,
4019238013245,10010478,CONTINENTAL,Reifen,provider 16,225,55,R,17,,,ECOCONTACT 6 *,,,,,,,
4019238015157,10010720,CONTINENTAL,Reifen,provider 16,195,55,R,16,,,ECOCONTACT 6 XLVW,,,,,,,
4019238020403,10010788,CONTINENTAL,Reifen,provider 16,235,55,R,18,,,ECOCONTACT 6 MO,,,,,,,
4019238026054,10010473,CONTINENTAL,Reifen,provider 16,225,50,R,17,,,SPORTC. 5 MO,,,,,,,
4019238035490,10010768,CONTINENTAL,Reifen,provider 16,215,65,R,16C,107,,VANC. 100 (106T),,,,,,,
