ean,product_id,manufacturer,article_type,source_file,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
8807622225581,240002710,NEXEN,Reifen,09.csv,235,55,R,17,,,N BLUE 4SEASON 2 XLBSRPB 3PM,,09,,,,,,
8807622225598,240002699,NEXEN,Reifen,09.csv,225,45,R,17,,Z,N BLUE 4SEASON 2 XLBSR,,09,,,,,,
8807622225611,240002701,NEXEN,Reifen,09.csv,225,50,R,17,,,N BLUE 4SEASON 2 XLBSRPB 3PM,,09,,,,,,
8807622225635,240002703,NEXEN,Reifen,09.csv,225,55,R,17,,,N BLUE 4SEASON 2 XLBSRPB 3PM,,09,,,,,,
8807622225642,240002686,NEXEN,Reifen,09.csv,215,50,R,17,,,N BLUE 4SEASON 2 XLBSRPB 3PM,,09,,,,,,
8807622230509,240000689,NEXEN,Reifen,09.csv,255,45,R,19,,,N'FERA RU1 RPB,,09,,,,,,
8807622231506,240000593,NEXEN,Reifen,09.csv,235,35,R,19,,Z,N'FERA SU1 XLRPB,,09,,,,,,
8807622258404,240000663,NEXEN,Reifen,09.csv,245,45,R,19,,Z,N'FERA SU1 XLRPB,,09,,,,,,
8807622273100,240000685,NEXEN,Reifen,09.csv,255,40,R,17,,,N'FERA SU1 XLRPB,,09,,,,,,
8807622335501,240000525,NEXEN,Reifen,09.csv,215,70,R,16C,106,,CP521 M+S,,09,,,,,,
8807622343001,240000404,NEXEN,Reifen,09.csv,195,65,R,15,,,N'BLUE PREMIUM,,09,,,,,,
8807622351402,240000652,NEXEN,Reifen,09.csv,245,35,R,19,,,N'FERA SU1 XLRPB,,09,,,,,,
8807622360909,240000563,NEXEN,Reifen,09.csv,225,55,R,17,,,N'FERA RU1 RPB,,09,,,,,,
8807622384103,240000292,NEXEN,Reifen,09.csv,165,60,R,14,,,N'BLUE HD PLUS,,09,,,,,,
8807622384400,240000313,NEXEN,Reifen,09.csv,175,60,R,16,,,N'BLUE HD PLUS,,09,,,,,,
8807622384707,240000339,NEXEN,Reifen,09.csv,185,55,R,15,,,N'BLUE HD PLUS,,09,,,,,,
8807622385704,240000380,NEXEN,Reifen,09.csv,195,55,R,16,,,N'BLUE HD PLUS,,09,,,,,,
8807622386107,240000391,NEXEN,Reifen,09.csv,195,60,R,16,,,N'BLUE HD PLUS,,09,,,,,,
8807622388309,240000514,NEXEN,Reifen,09.csv,215,60,R,17,,,N'BLUE HD PLUS,,09,,,,,,
8807622396106,240000965,NEXEN,Reifen,09.csv,195,,R,15C,104,,WINGUARD WT1 3PMSF,,09,,,,,,
8807622408304,240000428,NEXEN,Reifen,09.csv,205,45,R,17,,,N'FERA SU1 XLRPB,,09,,,,,,
8807622409509,240000851,NEXEN,Reifen,09.csv,175,60,R,15,,,N BLUE HD PLUS,,09,,,,,,
8807622409707,240000954,NEXEN,Reifen,09.csv,185,65,R,15,,,WINGUARD SNOW G WH2 3PMSF,,09,,,,,,
8807622410307,240000512,NEXEN,Reifen,09.csv,215,60,R,16,,,N'BLUE HD PLUS XL,,09,,,,,,
8807622410406,240000665,NEXEN,Reifen,09.csv,245,55,R,17,,,N'FERA SU1 XLRPB,,09,,,,,,
8807622415500,240000346,NEXEN,Reifen,09.csv,185,60,R,15,,,N'BLUE HD,,09,,,,,,
8807622430404,240001499,NEXEN,Reifen,09.csv,245,45,R,18,,,N FERA SU1,,09,,,,,,
