product_id,EAN,manufacturer,article_description,tyre_width,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,stock,price,DOT,DEMO
TYRE-T2BFAF6E51C95,3831126107116,MITAS,120/90 - 18 TT 65R TERRA FORCE-EF SUPER (YELLOW) (SLO),120,90,18,65,R,TERRA FORCE-EF SUPER (YELLOW),14,52.69,,
TYRE-T31E23097D619,8903094017867,BKT,27x10.50 - 15 TL 120A2 SKID POWER HD 8PR,27,10.50,15,120,A2,SKID POWER HD,4,461.36,,
TYRE-T37C9B670C04D,6942163628728,TRANSMATE,175/65 R 15 TL 84H TOURING H7 BSW,175,65,15,84,H,TOURING H7,50,33.34,,
TYRE-T3ABF922F4F4C,3831126103040,MITAS,100/80 - 10 TL 53P MC-32 WIN SCOOT M+S   (SLO),100,80,10,53,P,MC-32 WIN SCOOT,4,50.17,,
TYRE-T3EBC514D3860,8808956167257,MARSHAL,215/55 R 17 TL 94W MATRAC FX MU12,215,55,17,94,W,MATRAC FX MU12,16,70.16,,
TYRE-T3ECC93634B62,6959753220538,TRIANGLE,185/65 R 15 TL 88H SEASONX TA01 BSW M+S 3PMSF,185,65,15,88,H,SEASONX TA01,20,52.21,,
TYRE-T45A46DEA5A00,8809692870937,SHINKO,150/70 B 18 TL 70Q E805 ADVENTURE TRAIL BSW,150,70,18,70,Q,E805 ADVENTURE TRAIL,9,99.67,,
TYRE-T4651575D9268,5420068628599,IMPERIAL,225/35 R 19 XL TL 88Y AS DRIVER BSW M+S 3PMSF,225,35,19,88,Y,AS DRIVER,32,54.55,,
TYRE-T470630B8D3E2,5705050001551,NORDEXX,195/50 R 15 TL 82V NS5000 BSW,195,50,15,82,V,NS5000,37,35.53,,
TYRE-T4B935E67F5F1,6953913172514,MIRAGE,205/65 R 15 C TL 102/100T MR-200 6PR,205,65,15,102,T,MR-200,10,54.33,,
TYRE-T4C2E9EDC2831,4038526418418,GOODYEAR,255/35 R 21 XL TL 98Y EAGLE F1 ASYMMETRIC 6 (EDR) MFS BSW SCT,255,35,21,98,Y,EAGLE F1 ASYMMETRIC 6 (EDR),7,265.82,,
TYRE-T4F7E64E789B4,8808563505480,LAUFENN,205/45 ZR 16 TL 83W S FIT EQ+ (LK01+) BSW (IDN),205,45,16,83,W,S FIT EQ+ (LK01+),42,55.92,,
