product_id,manufacturer_article_number,article_description,article_number,manufacturer_code,manufacturer,group ,vehicle_type,e-mark,european,tyre_width,tyre_aspect_ratio,tyre_diameter,tyre_load_index,nett-price,price,stock,EAN,internal_code,photolink,fuel_effeciency,wet_grip,noise_performance,Noise_Class,snow_grip,ice_label,eprel_id,eprel_url,wcat,article_type
468964,215 45VR 16TNC501XL,215/45 VR16 TL 90V  SUNNY NC501 XL,NC501XL,SY,SUNNY,29,ALL-SEASON PW,J,N,215,45,16,90V,34.35,79,>  20,6976540118090,1105157,https://www.etyre.net/preview/t3/sy-nc501xl.jpg,C,C,70,B,J,N,1922845,https://eprel.ec.europa.eu/qr/1922845,1,REIFEN
468965,215 55VR 16TNC501XL,215/55 VR16 TL 97V  SUNNY NC501 XL,NC501XL,SY,SUNNY,29,ALL-SEASON PW,J,N,215,55,16,97V,36.75,81.1,>  20,6976540118106,1105158,https://www.etyre.net/preview/t3/sy-nc501xl.jpg,C,C,70,B,J,N,1922808,https://eprel.ec.europa.eu/qr/1922808,1,REIFEN
468967,215 60VR 17TNC501XL,215/60 VR17 TL 100V SUNNY NC501 XL,NC501XL,SY,SUNNY,29,ALL-SEASON PW,J,N,215,60,17,100V,39.95,91,>  20,6976540118120,1105160,https://www.etyre.net/preview/t3/sy-nc501xl.jpg,C,C,70,B,J,N,1922869,https://eprel.ec.europa.eu/qr/1922869,3,REIFEN
468968,215 55VR 18TNC501XL,215/55 VR18 TL 99V  SUNNY NC501 XL,NC501XL,SY,SUNNY,29,ALL-SEASON PW,J,N,215,55,18,99V,41.7,105.9,>  20,6976540118137,1105161,https://www.etyre.net/preview/t3/sy-nc501xl.jpg,C,C,70,B,J,N,1922752,https://eprel.ec.europa.eu/qr/1922752,3,REIFEN
468998,165 60HR 15TSEASONPR1,165/60 HR15 TL 77H  NK SEASONPROOF 1,SEASONPR1,NK,NOKIAN,29,ALL-SEASON PW,J,N,165,60,15,77H,44,0,>  20,6419440594910,T433133,https://www.etyre.net/preview/t3/nk-seasonpr1.jpg,D,B,71,B,J,N,1777977,https://eprel.ec.europa.eu/qr/1777977,1,REIFEN
469063,245 65TR 17TDUELATXL,245/65 TR17 TL 111T BR DUELER A/T 002 XL,DUELATXL,BR,BRIDGESTONE,38,ALL-SEASON 4X4/SUV,J,J,245,65,17,111T,114.75,201,12,3286342036212,20362,https://www.etyre.net/preview/t3/br-duelatxl.jpg,B,C,72,B,J,N,502317,https://eprel.ec.europa.eu/qr/502317,2,REIFEN
469064,275 65TR 17TDUELAT,275/65 TR17 TL 115T BR DUELER A/T 002,DUELAT,BR,BRIDGESTONE,38,ALL-SEASON 4X4/SUV,J,J,275,65,17,115T,143.3,252,12,3286342036717,20367,https://www.etyre.net/preview/t3/br-duelat.jpg,B,C,73,B,J,N,502726,https://eprel.ec.europa.eu/qr/502726,4,REIFEN
469065,285 65TR 17TDUELAT,285/65 TR17 TL 116T BR DUELER A/T 002,DUELAT,BR,BRIDGESTONE,38,ALL-SEASON 4X4/SUV,J,J,285,65,17,116T,156.5,278,>  20,3286342036816,20368,https://www.etyre.net/preview/t3/br-duelat.jpg,B,C,73,B,J,N,502800,https://eprel.ec.europa.eu/qr/502800,4,REIFEN
469069,205 75 R 16TDURA/S.,205/75  R16 TL 113R BR DURAVIS A/S (+),DURA/S.,BR,BRIDGESTONE,37,ALL-SEASON LIGHT-TRU,J,J,205,75,16,113R,119.35,201,>  20,3286342294612,22946,https://www.etyre.net/preview/t3/br-duras..jpg,B,B,71,B,J,N,1327430,https://eprel.ec.europa.eu/qr/1327430,3,REIFEN
469070,225 65 R 16TDURA/S.,225/65  R16 TL 112R BR DURAVIS A/S,DURA/S.,BR,BRIDGESTONE,37,ALL-SEASON LIGHT-TRU,J,N,225,65,16,112R,124.67,225,>  20,3286342885612,28856,https://www.etyre.net/preview/t3/br-duras..jpg,B,A,72,A,J,N,1807259,https://eprel.ec.europa.eu/qr/1807259,3,REIFEN
